,TITLE,TITLE,LABEL
1522,Free birth registration for Botolan Aetas,Free birth registration for Botolan Aetas,REAL
7540,2 kids drown in pond,2 kids drown in pond,REAL
1834,PNP launches holiday security plan,PNP launches holiday security plan,REAL
1775,‘Barangay chairman’ held over P3.4 million shabu,‘Barangay chairman’ held over P3.4 million shabu,REAL
8212,PCG saves teen from drowning in Manila Bay,PCG saves teen from drowning in Manila Bay,REAL
3363,Manila Zoo to reopen on November 21,Manila Zoo to reopen on November 21,REAL
1084,CHR probes rape of minor in Zamboanga evacuation center,CHR probes rape of minor in Zamboanga evacuation center,REAL
4410,Liza Marcos launches ‘Kadiwa ng Pasko’ caravan in Parañaque,Liza Marcos launches ‘Kadiwa ng Pasko’ caravan in Parañaque,REAL
2669,"Woman held for P680,000 shabu in Caloocan","Woman held for P680,000 shabu in Caloocan",REAL
3648,20 Maguindanao del Norte landslide fatalities buried,20 Maguindanao del Norte landslide fatalities buried,REAL
6197,Ultra Lotto pot to hit P215 million,Ultra Lotto pot to hit P215 million,REAL
596,Makati residents get Christmas gift bags,Makati residents get Christmas gift bags,REAL
6061,Ateneo shooter pleads not guilty,Ateneo shooter pleads not guilty,REAL
1569,"3 soldiers, 3 MILF members killed","3 soldiers, 3 MILF members killed",REAL
1178,Measles cases up nearly 200%,Measles cases up nearly 200%,REAL
9545,State of calamity in 4 Cagayan towns,State of calamity in 4 Cagayan towns,REAL
1506,LTO opens another licensing center in Quezon City,LTO opens another licensing center in Quezon City,REAL
1641,Janitor accused of raping student,Janitor accused of raping student,REAL
139,Teacher who was part-time cartoonist killed in Sultan Kudarat,Teacher who was part-time cartoonist killed in Sultan Kudarat,REAL
7744,Woman tagged in Tacurong bus bombing,Woman tagged in Tacurong bus bombing,REAL
8177,SC announces 14 testing centers for Bar exams,SC announces 14 testing centers for Bar exams,REAL
4134,House OKs integration of national building code in curriculums,House OKs integration of national building code in curriculums,REAL
917,Interpol meet: PNP to present accomplishments in drug war,Interpol meet: PNP to present accomplishments in drug war,REAL
3854,350 LGUs to get good governance award,350 LGUs to get good governance award,REAL
7049,P500 million smuggled cigarettes seized in Western Mindanao,P500 million smuggled cigarettes seized in Western Mindanao,REAL
3343,Prosecutor in Calbayog mayor’s slay gets threats,Prosecutor in Calbayog mayor’s slay gets threats,REAL
4348,Privatization process for EDSA busway starts,Privatization process for EDSA busway starts,REAL
3424,"Appoint Marawi compensation board members, Marcos Jr. urged","Appoint Marawi compensation board members, Marcos Jr. urged",REAL
1718,PNP on full alert for Undas,PNP on full alert for Undas,REAL
143,Classes suspended in Paeng-hit areas,Classes suspended in Paeng-hit areas,REAL
930,Quezon storm damage hits P761 million,Quezon storm damage hits P761 million,REAL
1661,Crime of passion eyed in indiscriminate firing; 1 dead,Crime of passion eyed in indiscriminate firing; 1 dead,REAL
7801,Marcos reappointment of PPA chief lauded,Marcos reappointment of PPA chief lauded,REAL
10232,SWAT officer accidentally fires gun in cemetery,SWAT officer accidentally fires gun in cemetery,REAL
1360,"DHSUD: 10,000 Marikina workers to benefit from housing project","DHSUD: 10,000 Marikina workers to benefit from housing project",REAL
3635,Chinese couple held for abusing Vietnamese maid,Chinese couple held for abusing Vietnamese maid,REAL
8290,Ilocos Norte eyed as ‘tourism rest area’,Ilocos Norte eyed as ‘tourism rest area’,REAL
6227,MMDA to suspend ‘non-urgent’ roadworks during holidays,MMDA to suspend ‘non-urgent’ roadworks during holidays,REAL
3255,"‘Chinese rocket debris’ found off Mindoro, Palawan","‘Chinese rocket debris’ found off Mindoro, Palawan",REAL
3177,Ex-Albay town mayor convicted of graft,Ex-Albay town mayor convicted of graft,REAL
2832,"Marcos, Xi tackle regional issues on APEC sidelines","Marcos, Xi tackle regional issues on APEC sidelines",REAL
4294,Over 31 million COVID-19 vaccine doses wasted — DOH,Over 31 million COVID-19 vaccine doses wasted — DOH,REAL
5316,Tulfo claims ?5M to ?20M bribery in FDA for product approval,Tulfo claims ?5M to ?20M bribery in FDA for product approval,REAL
1524,"SLEX toll fee for 84,000 vehicles waived due to ETC network disruption","SLEX toll fee for 84,000 vehicles waived due to ETC network disruption",REAL
2974,Davao del Sur municipality placed under state of calamity due to flash floods,Davao del Sur municipality placed under state of calamity due to flash floods,REAL
3364,"DOST urged to have clearer, simpler disaster warnings","DOST urged to have clearer, simpler disaster warnings",REAL
4933,"Bumpy road to victory: Young chess champ gets praise, cash from Albay hometown","Bumpy road to victory: Young chess champ gets praise, cash from Albay hometown",REAL
5530,PH gets more investment pledges from Thailand’s CP Group,PH gets more investment pledges from Thailand’s CP Group,REAL
7680,DBM to amend EO extending full devolution from 2024 to 2027,DBM to amend EO extending full devolution from 2024 to 2027,REAL
10490,"Tulfo, Villar argue on developers converting farmlands into residential spaces","Tulfo, Villar argue on developers converting farmlands into residential spaces",REAL
9413,At least 16 Bilibid inmates died each month from January to October 2022 — forensic expert,At least 16 Bilibid inmates died each month from January to October 2022 — forensic expert,REAL
4880,Poe: Only basic employee benefits await seafarers if PH loses accreditation,Poe: Only basic employee benefits await seafarers if PH loses accreditation,REAL
3512,MMDA to extend personnel duty in preparation for holidays,MMDA to extend personnel duty in preparation for holidays,REAL
8685,Senators push for development of root crop production as alternative to rice,Senators push for development of root crop production as alternative to rice,REAL
6763,Catapang wants COA to probe BuCor anomalies,Catapang wants COA to probe BuCor anomalies,REAL
7730,Tulfo wants DENR to use ?13-M intel funds to resolve Masungi Georeserve dispute,Tulfo wants DENR to use ?13-M intel funds to resolve Masungi Georeserve dispute,REAL
2546,DENR defends additional ?90M to proposed 2023 budget,DENR defends additional ?90M to proposed 2023 budget,REAL
2596,Senator questions zero intel fund for DICT,Senator questions zero intel fund for DICT,REAL
7362,"No more full online classes in colleges, universities next sem - CHED","No more full online classes in colleges, universities next sem - CHED",REAL
7513,17 more Chinese nationals deported over illegal online gambling — BI,17 more Chinese nationals deported over illegal online gambling — BI,REAL
1475,"Luring investments, meeting the royal family: What to expect in Marcos' Thailand trip for APEC Summit","Luring investments, meeting the royal family: What to expect in Marcos' Thailand trip for APEC Summit",REAL
2232,Teachers group: Education problems worse now than before the pandemic,Teachers group: Education problems worse now than before the pandemic,REAL
6247,"In this art exhibit, women resist the violence of erasure","In this art exhibit, women resist the violence of erasure",REAL
127,Lapid seeks additional service incentive leaves for workers,Lapid seeks additional service incentive leaves for workers,REAL
6025,"‘Trese’ co-creator, Filipino artists among SG comic con guests","‘Trese’ co-creator, Filipino artists among SG comic con guests",REAL
10122,House panel OKs bill penalizing political turncoatism,House panel OKs bill penalizing political turncoatism,REAL
4979,First section of NLEX Connector operational by December,First section of NLEX Connector operational by December,REAL
1700,"US VP Harris to meet with Marcos, Duterte during PH visit","US VP Harris to meet with Marcos, Duterte during PH visit",REAL
9398,Marcos still confident PH to achieve ?20-per-kilo price of rice,Marcos still confident PH to achieve ?20-per-kilo price of rice,REAL
10427,Drilon: Bantag must appear before prosecutor or waive counter affidavit,Drilon: Bantag must appear before prosecutor or waive counter affidavit,REAL
7099,NBI to transfer Vhong Navarro to Taguig City jail,NBI to transfer Vhong Navarro to Taguig City jail,REAL
4500,New AFP Visayas chief wants to further weaken CPP/NPA in region,New AFP Visayas chief wants to further weaken CPP/NPA in region,REAL
8013,"LIST: Regular, special non-working days in PH for 2023","LIST: Regular, special non-working days in PH for 2023",REAL
2199,"PH eyes VFA with Japan, more EDCA sites for US","PH eyes VFA with Japan, more EDCA sites for US",REAL
4943,Tourism revenue hits ?100B after PH eased COVID-19 rules in February,Tourism revenue hits ?100B after PH eased COVID-19 rules in February,REAL
10092,"DepEd order meant to depoliticize, professionalize agency","DepEd order meant to depoliticize, professionalize agency",REAL
9121,Cayetano questions huge maintenance funds in DPWH budget,Cayetano questions huge maintenance funds in DPWH budget,REAL
8122,PH bet Hannah Arnold ready to compete in Miss International pageant after long wait,PH bet Hannah Arnold ready to compete in Miss International pageant after long wait,REAL
8988,Marcos to reveal PH Dev’t Plan next month,Marcos to reveal PH Dev’t Plan next month,REAL
2115,"Having 5 deputy director generals in TESDA violates law, senators say","Having 5 deputy director generals in TESDA violates law, senators say",REAL
8682,Senator seeks detailed audit of multibillion-peso COVID vaccine procurement,Senator seeks detailed audit of multibillion-peso COVID vaccine procurement,REAL
6350,"DepEd order meant to depoliticize, professionalize agency","DepEd order meant to depoliticize, professionalize agency",REAL
4597,"Reform, Rebuild, Recover: JFC to host 11th Arangkada Philippines Forum","Reform, Rebuild, Recover: JFC to host 11th Arangkada Philippines Forum",REAL
7818,Marcos not keen on removing VAT on utilities — Romualdez,Marcos not keen on removing VAT on utilities — Romualdez,REAL
677,Senator: Suspend K-12 program or fully fund it,Senator: Suspend K-12 program or fully fund it,REAL
6408,Grab: Larger income for riders in proposed commission scheme,Grab: Larger income for riders in proposed commission scheme,REAL
3004,Marcos names tax lawyer as BIR chief,Marcos names tax lawyer as BIR chief,REAL
8357,DOH lists options for COVID-19 response if public health emergency bill not passed by December,DOH lists options for COVID-19 response if public health emergency bill not passed by December,REAL
10511,Ombudsman keeps ?51.4-M confidential fund for 2023,Ombudsman keeps ?51.4-M confidential fund for 2023,REAL
8322,Int’l tobacco firms say passage of tougher sanctions vs tobacco smuggling ‘urgent’,Int’l tobacco firms say passage of tougher sanctions vs tobacco smuggling ‘urgent’,REAL
6212,Final preparations underway for the reopening of Manila Zoo,Final preparations underway for the reopening of Manila Zoo,REAL
172,Congress approves own P26.1-billion budget for 2023,Congress approves own P26.1-billion budget for 2023,REAL
6920,"DOH, iaaral na gawing standard ang sahod at benepisyo ng mga nurse sa public at private sector","DOH, iaaral na gawing standard ang sahod at benepisyo ng mga nurse sa public at private sector",REAL
9468,Freedom of expression': Badoy defends 'threat-laden' diatribe vs judge,Freedom of expression': Badoy defends 'threat-laden' diatribe vs judge,REAL
6460,Greenpeace hits 'very small' 2023 budget for Climate Change Commission,Greenpeace hits 'very small' 2023 budget for Climate Change Commission,REAL
5202,"Prosecutors to subpoena Bantag, deputy to Lapid investigation hearing","Prosecutors to subpoena Bantag, deputy to Lapid investigation hearing",REAL
6809,CHED budget ipinagpaliban muna ng Senado,CHED budget ipinagpaliban muna ng Senado,REAL
2802,DepEd naglaan ng budget sa SPED sa 2023,DepEd naglaan ng budget sa SPED sa 2023,REAL
1329,Is there no limit?' Senator questions OVP's 'tripled' budget for 2023,Is there no limit?' Senator questions OVP's 'tripled' budget for 2023,REAL
4114,No 'extraordinarily compelling reason' to give DepEd confidential funds: Hontiveros,No 'extraordinarily compelling reason' to give DepEd confidential funds: Hontiveros,REAL
6527,Romualdez: 2023 budget to be tweaked for Paeng victims,Romualdez: 2023 budget to be tweaked for Paeng victims,REAL
4354,"Residential area sa Navotas City, nasunog; 5 patay","Residential area sa Navotas City, nasunog; 5 patay",REAL
3138,PNP chief warns officers on Christmas gift solicitation,PNP chief warns officers on Christmas gift solicitation,REAL
9447,"Ina ng namaril na suspek sa Caloocan, planong kasuhan: pulisya","Ina ng namaril na suspek sa Caloocan, planong kasuhan: pulisya",REAL
7256,"De Lima, other accused allowed to confront Herbert Colanggo in next hearing — lawyer","De Lima, other accused allowed to confront Herbert Colanggo in next hearing — lawyer",REAL
421,"Hukay sa Bilibid, dahil sa pagmimina ng ginto?","Hukay sa Bilibid, dahil sa pagmimina ng ginto?",REAL
7228,"Isa sa mga guro sa Bataan bus accident, inilarawan ang trahedya","Isa sa mga guro sa Bataan bus accident, inilarawan ang trahedya",REAL
2850,2 persons killed as fire hits residential area in Las Pinas,2 persons killed as fire hits residential area in Las Pinas,REAL
7628,NCAA: San Beda boots out Mapua from Final 4 race,NCAA: San Beda boots out Mapua from Final 4 race,REAL
8918,"Philippines, Japan vow to strengthen partnership, Palace says","Philippines, Japan vow to strengthen partnership, Palace says",REAL
51,"PVL: Creamline bounces back, downs Army in four","PVL: Creamline bounces back, downs Army in four",REAL
7711,"UAAP: UP moving in right direction in title defense, says Lucero","UAAP: UP moving in right direction in title defense, says Lucero",REAL
9295,What inspired Robi Domingo to propose to Maiqui Pineda,What inspired Robi Domingo to propose to Maiqui Pineda,REAL
7474,"Kai Sotto growing in maturity for Gilas, says Chot","Kai Sotto growing in maturity for Gilas, says Chot",REAL
186,"Pawikang na-trap sa lambat sa Balut island, na-rescue ng estudyante","Pawikang na-trap sa lambat sa Balut island, na-rescue ng estudyante",REAL
7661,"Remulla, ayaw nang patulan ang mga bagong paratang ni Bantag","Remulla, ayaw nang patulan ang mga bagong paratang ni Bantag",REAL
7443,"Senior, alagang aso patay, 2 apo sugatan sa sunog sa Maynila","Senior, alagang aso patay, 2 apo sugatan sa sunog sa Maynila",REAL
3700,Marcos invited to attend World Economic Forum in Davos: OPS,Marcos invited to attend World Economic Forum in Davos: OPS,REAL
8210,"Marcos urged to 'downgrade' EDCA, rethink plan to open 5 US bases in PH","Marcos urged to 'downgrade' EDCA, rethink plan to open 5 US bases in PH",REAL
5040,BARMM lawmaker wants to revive P39-billion China-funded flood control project,BARMM lawmaker wants to revive P39-billion China-funded flood control project,REAL
9756,Filipinos most worried about climate change but…,Filipinos most worried about climate change but…,REAL
2305,Subsidy sought for hog raisers affected by ASF,Subsidy sought for hog raisers affected by ASF,REAL
2228,Marcos set to visit US 'at least' twice in 2023 - envoy,Marcos set to visit US 'at least' twice in 2023 - envoy,REAL
3008,"DOH: No more restrictions this Christmas, get vaccinated","DOH: No more restrictions this Christmas, get vaccinated",REAL
6851,DOH eyes new COVID-19 risk level scheme,DOH eyes new COVID-19 risk level scheme,REAL
3872,Bato kinuwestiyon ang paglalathala ng KWF ng mga libro na umano'y subersibo,Bato kinuwestiyon ang paglalathala ng KWF ng mga libro na umano'y subersibo,REAL
1884,"Sen. Padilla recalls time in Bilibid, urges penal reforms","Sen. Padilla recalls time in Bilibid, urges penal reforms",REAL
4239,UP Manila grad tops October physician licensure exams,UP Manila grad tops October physician licensure exams,REAL
3282,"COVID-19: Worst of BA.4 and BA.5 wave in PH over, says specialist","COVID-19: Worst of BA.4 and BA.5 wave in PH over, says specialist",REAL
9239,Wishful thinking': Remulla rejects Bantag as 'state witness' in Lapid murder case,Wishful thinking': Remulla rejects Bantag as 'state witness' in Lapid murder case,REAL
4532,New DOH usec urges critics: Give me a chance,New DOH usec urges critics: Give me a chance,REAL
4130,House panel adopts resolutions calling for PH's immediate ratification of ILO C190,House panel adopts resolutions calling for PH's immediate ratification of ILO C190,REAL
6815,"UP, Ateneo, La Salle drop in 2023 Asian university rankings","UP, Ateneo, La Salle drop in 2023 Asian university rankings",REAL
599,Spooked by Lapid slay? Zubiri dares journos to 'go to China' for real 'chilling effect',Spooked by Lapid slay? Zubiri dares journos to 'go to China' for real 'chilling effect',REAL
4577,DOJ chief's son transferred to Las Piñas City Jail over drug charges: official,DOJ chief's son transferred to Las Piñas City Jail over drug charges: official,REAL
7154,Ilang negosyante dama ang tumataas na presyo ng sibuyas,Ilang negosyante dama ang tumataas na presyo ng sibuyas,REAL
7757,"PH gets new air defense system, new transport aircraft for Air Force","PH gets new air defense system, new transport aircraft for Air Force",REAL
1934,Magnitude 4.2 quake hits waters off Eastern Samar,Magnitude 4.2 quake hits waters off Eastern Samar,REAL
9557,Lalamove says aid given after rider's death; Hontiveros slams company,Lalamove says aid given after rider's death; Hontiveros slams company,REAL
5297,DOTr inspects progress of New Manila International Airport: SMC,DOTr inspects progress of New Manila International Airport: SMC,REAL
5075,"Ship runs aground off Batangas City, 5 Filipino crewmen safe — PCG","Ship runs aground off Batangas City, 5 Filipino crewmen safe — PCG",REAL
2076,Bird flu detected in Ilocos Norte,Bird flu detected in Ilocos Norte,REAL
8142,Ragos: I was forced thrice to sign affidavits vs De Lima,Ragos: I was forced thrice to sign affidavits vs De Lima,REAL
4714,‘Window closing’ on climate mitigation efforts – report,‘Window closing’ on climate mitigation efforts – report,REAL
6176,Ople assures stranded OFWs of assistance,Ople assures stranded OFWs of assistance,REAL
9402,PH to ramp up smoke-free legislation nationwide,PH to ramp up smoke-free legislation nationwide,REAL
6948,Concepcion: Gov’t can’t force companies to hire K-12 grads,Concepcion: Gov’t can’t force companies to hire K-12 grads,REAL
4911,"Keep China out of WPS, Hontiveros tells Bongbong Marcos","Keep China out of WPS, Hontiveros tells Bongbong Marcos",REAL
9991,Bohol town ex-mayor gets 24-year jail term for graft,Bohol town ex-mayor gets 24-year jail term for graft,REAL
10555,LTFRB waives fees for PUV operators,LTFRB waives fees for PUV operators,REAL
8549,Private project on Tanay river alarms locals; DENR steps in,Private project on Tanay river alarms locals; DENR steps in,REAL
2834,Ex-US diplomat admits to sex crimes with minors in PH,Ex-US diplomat admits to sex crimes with minors in PH,REAL
6035,Ilocos Norte as PH garlic capital pushed,Ilocos Norte as PH garlic capital pushed,REAL
2281,Night flights halted at Cebu airport after runway mishap,Night flights halted at Cebu airport after runway mishap,REAL
9134,PH to ease requirements for inbound travelers,PH to ease requirements for inbound travelers,REAL
6407,Hontiveros rebukes DepEd for martial law rebranding: ‘Lies are not education’,Hontiveros rebukes DepEd for martial law rebranding: ‘Lies are not education’,REAL
1938,Percy Lapid slay case not yet closed nor solved — PNP,Percy Lapid slay case not yet closed nor solved — PNP,REAL
1255,Family members of Percy Lapid face threats amid investigation,Family members of Percy Lapid face threats amid investigation,REAL
4618,Dela Rosa backs ex-PNP chief’s appointment as DOH Usec,Dela Rosa backs ex-PNP chief’s appointment as DOH Usec,REAL
3602,Lone winner hits P188.4-M Lotto 6/49 jackpot,Lone winner hits P188.4-M Lotto 6/49 jackpot,REAL
6841,Pimentel worried by undefined P150-billion SipSP fund,Pimentel worried by undefined P150-billion SipSP fund,REAL
8756,Gov’t issues temporary PhilSys ID cards on paper,Gov’t issues temporary PhilSys ID cards on paper,REAL
5918,DepEd tells DSWD: Teachers won’t do 4Ps work anymore,DepEd tells DSWD: Teachers won’t do 4Ps work anymore,REAL
384,Housing backlog to hit 11 million units sans funding,Housing backlog to hit 11 million units sans funding,REAL
4492,Marcos to name DOH chief once Covid situation ‘normalizes’,Marcos to name DOH chief once Covid situation ‘normalizes’,REAL
2432,Muntinlupa hikes tax take to P3.7 billion,Muntinlupa hikes tax take to P3.7 billion,REAL
5307,Marcos affirms recall of Russian chopper deal,Marcos affirms recall of Russian chopper deal,REAL
8484,Fertilizer subsidy program gets P4.1 billion additional funding,Fertilizer subsidy program gets P4.1 billion additional funding,REAL
9948,Gabriela hits Manila Water for ‘inhumane’ rate hike,Gabriela hits Manila Water for ‘inhumane’ rate hike,REAL
2916,Marcos names 3 new associate justices,Marcos names 3 new associate justices,REAL
6058,"SC sets oral argument on barangay, SK elections postponement","SC sets oral argument on barangay, SK elections postponement",REAL
4713,"Bongbong Marcos declares October 31, 2022 as special non-working holiday","Bongbong Marcos declares October 31, 2022 as special non-working holiday",REAL
8767,Padilla wants tariffs on foreign shows to boost Filipino showbiz industry,Padilla wants tariffs on foreign shows to boost Filipino showbiz industry,REAL
4217,"Old, new names in Tulfo’s list of agri smugglers: Some DA execs know them","Old, new names in Tulfo’s list of agri smugglers: Some DA execs know them",REAL
1770,Mitigating effects of inflation still top priority – Marcos,Mitigating effects of inflation still top priority – Marcos,REAL
9394,What the DA budget must address,What the DA budget must address,REAL
8428,Nat’l Prosecution Service vows fairness in drug case of DOJ chief’s son,Nat’l Prosecution Service vows fairness in drug case of DOJ chief’s son,REAL
3427,"Notify DOE of West Philippine Sea oil and gas exploration plans, firms told","Notify DOE of West Philippine Sea oil and gas exploration plans, firms told",REAL
658,"Drop cases vs De Lima, US officials urge gov’t","Drop cases vs De Lima, US officials urge gov’t",REAL
10357,Bongbong Marcos rejects calls for Remulla to resign,Bongbong Marcos rejects calls for Remulla to resign,REAL
4865,PH should keep legitimate POGOs for their economic benefits – Abalos,PH should keep legitimate POGOs for their economic benefits – Abalos,REAL
4031,Meralco unit to build 1.5-MW solar rooftop for Riverbanks mall,Meralco unit to build 1.5-MW solar rooftop for Riverbanks mall,REAL
10257,DOTr chief backs Edsa busway privatization,DOTr chief backs Edsa busway privatization,REAL
2586,Manufacturers cite power supply deal irregularities,Manufacturers cite power supply deal irregularities,REAL
4045,Fake news persists because ‘people in power feed it’ – Colmenares,Fake news persists because ‘people in power feed it’ – Colmenares,REAL
4632,PDI associate publisher among Outstanding UPLB Alumni,PDI associate publisher among Outstanding UPLB Alumni,REAL
71,PNP seizes P6.7 billion worth of shabu; Abalos says it’s ‘biggest drug haul to date’,PNP seizes P6.7 billion worth of shabu; Abalos says it’s ‘biggest drug haul to date’,REAL
7577,Court of Appeals upholds Balintang Channel convictions,Court of Appeals upholds Balintang Channel convictions,REAL
1108,Marcos admits headhunting woes,Marcos admits headhunting woes,REAL
9485,Fuel excise suspension pushed,Fuel excise suspension pushed,REAL
4701,"Marcos touts programs on health, livelihood, peace in first 100 days in office","Marcos touts programs on health, livelihood, peace in first 100 days in office",REAL
4929,"Indie film 'Broken Blooms' bags 14 recognitions, awards in international festivals","Indie film 'Broken Blooms' bags 14 recognitions, awards in international festivals",REAL
6698,Comelec junks electoral protest against Manila Mayor Lacuna,Comelec junks electoral protest against Manila Mayor Lacuna,REAL
667,Angelica Panganiban is now engaged!,Angelica Panganiban is now engaged!,REAL
